,unit,solar_inverter_01,transformer_station_in,transformer_station_out,transformer_station_in_H2,transformer_station_out_H2,charge_H2tank,discharge_H2tank,electrolyser
age_installed,year,0,0,0,0,0,0,0,3
capex_fix,currency,0,0,0,0,0,0,0,0
capex_var,currency/kW,0,0,0,0,0,0,0,1500
efficiency,factor,1,0.96,0.96,1,1,1,1,0.1828
inflow_direction,str,PV plant (mono),Electricity (DSO),Electricity,H2 GRID,H2,H2,H2tank,Electricity
installedCap,kW,1000,10000,10000,0,10000,10000,10000,0
label,str,Solar inverter (mono),Transformer station (DSO) consumption,Transformer station (DSO) feedin,Transformer station (H2) consumption,Transformer station (H2) feedin,Charge H2 tank,Dischage H2 tank,Electrolyser
lifetime,year,15,30,30,30,30,30,30,20
opex_fix,currency/kW/year,0,0,0,0,0,0,0,75
opex_var,currency/kWh,0,0,0,0,0,0,0,0
optimizeCap,bool,False,False,False,False,False,False,False,True
outflow_direction,str,Electricity,Electricity,Electricity (DSO),H2,H2 GRID,H2tank,H2,H2
energyVector,str,Electricity,Electricity,Electricity,H2,H2,H2,H2,Electricity
type_oemof,str,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer
unit,str,kW,kVA,kVA,kW,kW,kW,kW,kW
